,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std
2021-01-11 04:59:59.999,2021-01-11 02:00:00,27.159,27.888,26.708,27.157,2253.766,2021-01-11 02:59:59.999,61070.25521500,518,736.05400000,19988.54906000,0,27.981949999999994,0.6482738598527963
2021-01-11 05:59:59.999,2021-01-11 03:00:00,27.053,27.512,25.584,26.017,3634.348,2021-01-11 03:59:59.999,95279.62530800,812,1546.21300000,40580.07556000,0,27.8183,0.7107937816272908
2021-01-11 06:59:59.999,2021-01-11 04:00:00,25.984,26.311,25.634,25.998,870.637,2021-01-11 04:59:59.999,22552.76563100,387,288.59500000,7497.56214800,0,27.665250000000004,0.7575930635902277
2021-01-11 07:59:59.999,2021-01-11 05:00:00,25.968,26.647,25.826,25.951,723.744,2021-01-11 05:59:59.999,18968.37749400,396,210.11300000,5522.97442200,0,27.501799999999996,0.7571443997714652
2021-01-11 08:59:59.999,2021-01-11 06:00:00,26.054,26.74,25.533,26.201,3452.869,2021-01-11 06:59:59.999,90066.48298400,1292,1903.94000000,49611.59690000,0,27.381849999999996,0.7640047723053134
2021-01-11 09:59:59.999,2021-01-11 07:00:00,26.2,26.808,25.038,25.349,1831.965,2021-01-11 07:59:59.999,46898.62611500,710,687.53800000,17641.81004400,0,27.249299999999998,0.8732679759929192
2021-01-11 10:59:59.999,2021-01-11 08:00:00,25.474,26.402,25.364,25.56,1409.532,2021-01-11 08:59:59.999,36517.51839400,640,397.74900000,10320.62705600,0,27.129550000000002,0.9335349611472759
2021-01-11 11:59:59.999,2021-01-11 09:00:00,25.644,26.17,25.428,26.168,2003.708,2021-01-11 09:59:59.999,51744.60822600,769,1005.09100000,25991.33258300,0,27.029000000000003,0.9227901055751551
2021-01-11 12:59:59.999,2021-01-11 10:00:00,26.148,26.651,25.519,25.561,1660.508,2021-01-11 10:59:59.999,43116.36872500,613,333.31000000,8724.18529300,0,26.91585,0.9582393545071897
2021-01-11 13:59:59.999,2021-01-11 11:00:00,25.581,26.148,25.208,25.566,2807.492,2021-01-11 11:59:59.999,71933.74525800,1062,1258.63200000,32291.97765400,0,26.77665,0.9409962959265095
2021-01-11 14:59:59.999,2021-01-11 12:00:00,25.613,26.134,25.107,25.857,2095.157,2021-01-11 12:59:59.999,53543.74025100,902,932.74600000,23905.08289600,0,26.6592,0.898853983809702
2021-01-11 15:59:59.999,2021-01-11 13:00:00,25.759,26.469,25.299,25.694,1593.985,2021-01-11 13:59:59.999,41111.29765000,756,824.26500000,21307.38569000,0,26.573900000000002,0.9057749168529939
2021-01-11 16:59:59.999,2021-01-11 14:00:00,25.731,26.604,25.235,26.212,5889.357,2021-01-11 14:59:59.999,152727.73336300,2395,2347.84700000,60983.95974000,0,26.4974,0.8656486706815194
2021-01-11 17:59:59.999,2021-01-11 15:00:00,26.191,26.385,25.688,26.064,1462.648,2021-01-11 15:59:59.999,38160.00948400,713,427.57900000,11184.78502800,0,26.414800000000003,0.8209108932989585
2021-01-11 18:59:59.999,2021-01-11 16:00:00,26.042,26.067,24.95,25.059,4353.48,2021-01-11 16:59:59.999,109440.25087900,1483,1778.34400000,44747.33992300,0,26.27865,0.8079284931230337
2021-01-11 19:59:59.999,2021-01-11 17:00:00,25.157,25.543,24.714,25.052,3306.452,2021-01-11 17:59:59.999,82889.62577200,1077,1419.43100000,35558.15587300,0,26.14805,0.7829286769291022
2021-01-11 20:59:59.999,2021-01-11 18:00:00,25.077,25.221,24.932,25.09,659.298,2021-01-11 18:59:59.999,16514.17253900,311,204.33800000,5129.44740500,0,26.02445,0.7420187595160569
2021-01-11 21:59:59.999,2021-01-11 19:00:00,25.156,25.217,24.95,25.141,907.091,2021-01-11 19:59:59.999,22718.01350500,346,316.96000000,7945.86408000,0,25.9032,0.6716562874127813
2021-01-11 22:59:59.999,2021-01-11 20:00:00,25.037,25.311,24.803,25.193,1094.087,2021-01-11 20:59:59.999,27405.34783300,461,174.89700000,4389.16258100,0,25.81035,0.6319615473812404
2021-01-11 23:59:59.999,2021-01-11 21:00:00,25.342,26.127,25.171,25.59,1832.491,2021-01-11 21:59:59.999,46664.78008600,658,571.40800000,14618.91969900,0,25.724,0.5240312365137965
2021-01-12 00:59:59.999,2021-01-11 22:00:00,25.672,26.255,25.399,26.231,929.381,2021-01-11 22:59:59.999,23944.56594000,406,408.63400000,10538.14038700,0,25.677699999999998,0.421666630608228
2021-01-12 01:59:59.999,2021-01-11 23:00:00,26.136,26.74,25.885,26.464,485.297,2021-01-11 23:59:59.999,12776.37041600,171,318.52200000,8403.11827100,0,25.700049999999997,0.45139578560641436
2021-01-12 02:59:59.999,2021-01-12 00:00:00,26.523,27.498,26.44,27.498,628.34,2021-01-12 00:59:59.999,16833.01566500,277,501.31200000,13441.13168200,0,25.77505,0.6027461257489224
2021-01-12 03:59:59.999,2021-01-12 01:00:00,27.498,33.327,27.498,33.262,20377.611,2021-01-12 01:59:59.999,636417.96809500,3118,13539.65700000,422324.71400500,0,26.1406,1.7807993592470774
2021-01-12 04:59:59.999,2021-01-12 02:00:00,33.262,37.598,31.6,33.275,40822.043,2021-01-12 02:59:59.999,1422469.93835000,6680,21411.20200000,746337.29210500,0,26.4943,2.3912958631802996
2021-01-12 05:59:59.999,2021-01-12 03:00:00,33.296,34.38,30.11,30.433,19832.691,2021-01-12 03:59:59.999,637495.46607100,4032,7982.32300000,258323.54409700,0,26.7485,2.5293739083854536
2021-01-12 06:59:59.999,2021-01-12 04:00:00,30.431,34.89,30.329,33.698,16940.725,2021-01-12 04:59:59.999,549440.70395900,3293,9131.27100000,295290.87041200,0,27.155400000000004,2.948046461106431
2021-01-12 07:59:59.999,2021-01-12 05:00:00,33.849,33.919,31.766,31.816,8831.193,2021-01-12 05:59:59.999,288761.72364300,2642,3467.85200000,113672.92320500,0,27.4378,3.114311778327857
2021-01-12 08:59:59.999,2021-01-12 06:00:00,31.861,32.768,31.1,31.79,7642.892,2021-01-12 06:59:59.999,244330.27913200,2202,4565.54700000,145928.13952300,0,27.74925,3.226200827027949
2021-01-12 09:59:59.999,2021-01-12 07:00:00,31.674,32.287,30.359,30.772,9919.2,2021-01-12 07:59:59.999,308203.62288400,1942,4973.89500000,154787.25421500,0,28.009549999999997,3.2507033971612698
2021-01-12 10:59:59.999,2021-01-12 08:00:00,30.795,31.209,30.001,30.03,4626.227,2021-01-12 08:59:59.999,141876.92442500,1220,2498.72700000,76757.75497600,0,28.218200000000003,3.2391716712439775
2021-01-12 11:59:59.999,2021-01-12 09:00:00,30.088,30.686,30.0,30.166,2803.091,2021-01-12 09:59:59.999,84957.67288800,785,1501.88400000,45655.51804100,0,28.4418,3.2099748252824964
2021-01-12 12:59:59.999,2021-01-12 10:00:00,30.129,30.216,28.5,28.606,4601.965,2021-01-12 10:59:59.999,133854.56831100,731,1692.66400000,48959.89186000,0,28.561500000000002,3.166795001092965
2021-01-12 13:59:59.999,2021-01-12 11:00:00,28.715,30.132,28.427,28.614,6257.132,2021-01-12 11:59:59.999,181857.11071200,1001,2389.36400000,69325.25209700,0,28.689,3.1118055851868416
2021-01-12 14:59:59.999,2021-01-12 12:00:00,28.467,29.573,28.45,28.701,3354.728,2021-01-12 12:59:59.999,96847.91959700,952,1595.13100000,45950.63486000,0,28.871100000000002,2.9924763710978515
2021-01-12 15:59:59.999,2021-01-12 13:00:00,28.63,29.393,27.444,27.858,3935.446,2021-01-12 13:59:59.999,112486.92300000,858,1929.76900000,55166.84403300,0,29.0114,2.8671510414934294
2021-01-12 16:59:59.999,2021-01-12 14:00:00,27.754,27.821,26.645,27.085,4220.898,2021-01-12 14:59:59.999,115022.06227000,666,1864.56700000,50671.05610300,0,29.111150000000002,2.756095489045482
2021-01-12 17:59:59.999,2021-01-12 15:00:00,27.191,28.29,27.165,28.234,2770.518,2021-01-12 15:59:59.999,76803.90520700,630,726.98300000,20215.43033200,0,29.265800000000002,2.604188460315826
2021-01-12 18:59:59.999,2021-01-12 16:00:00,28.234,29.365,28.154,28.878,2515.399,2021-01-12 16:59:59.999,72341.99614200,607,1489.19100000,42833.54358000,0,29.450049999999997,2.4250651749244976
2021-01-12 19:59:59.999,2021-01-12 17:00:00,28.878,29.16,28.272,28.494,2306.103,2021-01-12 17:59:59.999,65836.93575100,539,1279.33300000,36575.62066900,0,29.59525,2.263326217271712
2021-01-12 20:59:59.999,2021-01-12 18:00:00,28.566,29.299,28.383,29.036,1879.572,2021-01-12 18:59:59.999,54469.55460400,554,928.77800000,26940.20206200,0,29.735499999999995,2.1266658733430845
2021-01-12 21:59:59.999,2021-01-12 19:00:00,29.153,29.172,27.8,27.8,1672.926,2021-01-12 19:59:59.999,47483.43308300,353,672.32100000,19158.44533700,0,29.802300000000002,2.037615352885767
2021-01-12 22:59:59.999,2021-01-12 20:00:00,27.795,27.979,26.519,27.435,3907.666,2021-01-12 20:59:59.999,107182.11150600,929,1683.43400000,46490.97608000,0,29.799149999999997,2.041410278137202
2021-01-12 23:59:59.999,2021-01-12 21:00:00,27.35,27.763,26.891,27.539,1957.246,2021-01-12 21:59:59.999,53360.76837800,445,1045.55200000,28537.05601800,0,29.512999999999998,1.9284446145997947
2021-01-13 00:59:59.999,2021-01-12 22:00:00,27.531,28.113,26.93,27.174,2051.555,2021-01-12 22:59:59.999,56599.63007300,411,1250.04300000,34555.12061900,0,29.207950000000004,1.7787671802624863
